Question;Answer;Description
見ます「みます」;melihat;lesson 26
診ます「みます」;memeriksa;lesson 26
遅れます「おくれます」;terlambat;lesson 26
間に合います「まにあいます」;keburu waktu;lesson 26
やります;melakukan;lesson 26
拾います「ひろいます」;memungut;lesson 26
連絡します「れんらくします」;;lesson 26
気分がいい「きぶんがいい」;perasaan enak;lesson 26
気分が悪い「きぶんがわるい」;perasaan tidak enak;lesson 26
運動会「うんどうかい」;pekan olahraga/acara olahraga;lesson 26
盆踊り「ぼんおどり」;festival tari bon;lesson 26
場所「ばしょ」;tempat;lesson 26
ボランティア;sukarelawan;lesson 26
財布「さいふ」;dompet;lesson 26
ごみ;sampah;lesson 26
国会議事堂「こっかいぎじどう」;gedung parlemen;lesson 26
平日「へいじつ」;hari kerja;lesson 26
〜弁「〜べん」;dialek~;lesson 26
今度「こんど」;lain kali;lesson 26
いつでも;kapan pun;lesson 26
どこでも;di mana pun;lesson 26
だれでも;siapa pun;lesson 26
なんでも;apa pun;lesson 26
こんな〜;seperti ini;lesson 26
そんな〜;seperti itu (dekat dengan pendengar);lesson 26
あんな〜;sepertt itu (jauh dari keduanya);lesson 26
片付けます「かたづけます」;merapikan/membereskan;lesson 26
出します「だします」;mengeluarkan;lesson 26
置き場「おきば」;tempat untuk meletakkan;lesson 26
横「よこ」;samping;lesson 26
瓶「びん」;botol;lesson 26
缶「かん」;kaleng;lesson 26
ガス;gas;lesson 26
〜会社「〜がいしゃ」;perusahaan~;lesson 26
宇宙「うちゅう」;semesta/universe/space;lesson 26
〜様「〜さま」;tuan~;lesson 26
宇宙船「うちゅうせん」;kapal luar angkasa/spaceship;lesson 26
怖い「こわい」;takut;lesson 26
宇宙ステーション「うちゅうステーション」;stasiun luar angkasa;lesson 26
違います「ちがいます」;salah/berbeda;lesson 26
宇宙飛行士「うちゅうひこうし」;astronot/astronout;lesson 26
可燃ごみ「かねんごみ」;sampah mudah terbakar;lesson 26
燃えるごみ「もえるごみ」;sampah mudah terbakar;lesson 26
収集日「しゅうしゅうび」;hari pengambilan;lesson 26
知らせ「しらせ」;informasi;lesson 26
ごみの出し方「ごみのだしかた」;cara mengeluarkan sampah;lesson 26
生ごみ「なまごみ」;sampah dapur;lesson 26
紙屑「かみくず」;potongan kertas;lesson 26
不燃ごみ「ふねんごみ」;sampah tidak mudah terbakar;lesson 26
燃えないごみ「もえないごみ」;sampah mudah terbakar;lesson 26
