Question;Answer;Description
住む;すむ;tinggal
住民;じゅうみん;penduduk
所;ところ;tempat
住所;じゅうしょ;alamat
台所;だいどころ;dapur
場所;ばしょ;tempat
東京;とうきょう;Tokyo
東京都;とうきょうと;kota Tokyo
都合;つごう;kondisi(waktu)
首都;しゅと;ibu kota
京都府;きょうとふ;prefektur Kyoto
大阪府;おおさかふ;prefektur Osaka
政府;せいふ;pemerintah
山口県;やまぐちけん;prefektur Yamaguchi
県知事;けんちじ;bupati
京都市;きょうとし;kota Kyoto
市長;しちょう;wali kota
市場;いちば;pasar
北区;きたく;Kita ward
文京区;ぶんきょうく;Bunkyo ward
区長;くちょう;Lurah
町;まち;kota
下町;したまち;pusat kota(kelas menengah kebawah)
町長;ちょうちょう;lurah
村;むら;desa
村人;むらびと;orang desa
村長;むらちょう;kepala desa
明るい;あかるい;terang
明日;あした/あす;besok
説明;せつめい;penjelasan
発明;はつめい;penemuan
暗い;くらい;gelap
暗号;あんごう;kriptografi,kode rahasia
遠い;とおい;jauh
遠足;えんそく;piknik
近い;ちかい;dekat
近所;きんじょ;tetangga
最近;さいきん;akhir-akhir ini
強い;つよい;kuat
勉強;べんきょう;belajar
強風;きょうふう;angin kuat
弱い;よわい;lemah
強弱;きょうじゃく;kekuatan
重い;おもい;berat
重大な;じゅうだいな;serius
体重;たいじゅう;berat badan
軽い;かるい;ringan
軽食;けいしょく;makanan ringan
太い;ふとい;tebal
太陽;たいよう;matahari(planet)
細い;ほそい;tipis,kurus
細かい;こまかい;terperinci
細工;さいく;keahlian
特に;とくに;terutama
特別;とくべつ;spesial,khusus
特急;とうきゅう;limited express
別れる;わかれる;berpisah
別々に；べつべつに;terpisah
区別する;くべつする;membedakan
分別する;ぶんべつする;memilah
有る;ある;ada(benda mati)
有名;ゆうめい;terkenal
有料;ゆうりょう;ongkos,tarif
頼り;たより;surat,berita
郵便局;ゆうびんきょく;kantor pos
船便;ふなびん;pos laut
便利;べんり;praktis
利用;りよう;penggunaan,pemanfaatan
利子;りし;bunga(uang)
有利な;ゆうりな;menguntungkan
不便;ふべん;tidak praktis
不足する;ふそくする;lari pendek
不安な;ふあんな;cemas
不運な;ふうんな;sayang sekali(kecewa)
切る;きる;memotong
切手;きって;perangko
大切;たいせつ;penting
親切;しんせつ;ramah
元気;げんき;sehat
元日;がんじつ;hari tahun baru
紀元前;きげんぜん;sebelum masehi
好き;すき;suka
好意;こうい;niat baik,kebajikan
好物;こうぶつ;favorit
急に;きゅうに;tiba-tiba
急ぐ;いそぐ;buru-buru
急用;きゅうよう;urusan mendesak
低い;ひくい;rendah
低下する;ていかする;merosot,menurun
低気圧;ていきあつ;tekanan rendah
広い;ひろい;luas
広場;ひろば;plaza
広大な;こうだいな;luas
短い;みじかい;pendek
短時間;たんじかん;waktu singkat
良い;よい;bagus
良心;りょうしん;hati nurani
悪い;わるい;buruk
悪人;あくにん;orang jahat
正しい;ただしい;benar
お正月;おしょうがつ;tahun baru
正門;せいもん;gerbang utama
変わる;かわる;berubah
変な;へんな;aneh
大変な;大変な;berat,sulit
変化する;へんかする;mengubah
赤い;あかい;merah
赤ちゃん;あかちゃん;bayi
赤信号;あかしんごう;lampu merah
赤道;せきどう;khatulistiwa
青い;あおい;biru
青空;あおぞら;langit biru
青春;せいしゅん;kaum muda
黒い;くろい;hitam
真っ黒;まっくろ;gelap gulita
映す;うつす;mencerminkan
映画;えいが;film
映画館;えいがかん;bioskop
計画;けいかく;rencana,strategi
画家;がか;pelukis
日本画;にほんが;lukisan Jepang
音;おと;bunyi
発音;はつおん;pelafalan
高音;こうおん;nada tinggi
楽しい;たのしい;menyenangkan
音楽;おんがく;musik
楽な;らくな;gampang
歌う;うたう;menyanyi
歌手;かしゅ;penyanyi
写真;しゃしん;foto
写す;うつす;mencopy,menyalin
真ん中;まんなか;ditengah-tengah
真っ白;まっしろ;putih alami
真実;しんじつ;kebenaran
旅行;りょこう;traveling(bepergian)
旅館;りょかん;penginapan tradisional Jepang
旅;たび;perjalanan(trip)
世話をする;せわをする;menjaga,merawat
世の中;よのなか;dunia ini
２１世紀;２１せいき/せいき;abad ke 21
世界;せかい;dunia
政界;せいかい;dunia politik
仕事;しごと;pekerjaan
仕方がない;しかたがない;apa boleh buat
火事;かじ;kebakaran
用事;ようじ;keperluan
大事な;だいじな;berharga
事;こと;sesuatu
銀行;ぎんこう;bank
銀;ぎん;perak
銀座;ぎんざ;Ginza(nama tempat)
会社員;かいしゃいん;pegawai kantor
銀行員;ぎんこういん;pegawai bank
店員;てんいん;pegawai toko
会員;かいいん;anggota
医者;いしゃ;dokter
医学;いがく;ilmu kedokteran
医院;いいん;dokter kantor,klinik
者;もの;orang
歯医者;はいしゃ;dokter gigi
学者;がくしゃ;ilmuwan
作者;さくしゃ;penulis,pengarang
働く;はたらく;bekerja
労働者;ろうどうしゃ;buruh,pekerja
本屋;ほんや;toko buku
屋上;おくじょう;atap, roof top
八百屋;やおや;toko sayur,grocery
部屋;へや;ruangan,kamar
産む;うむ;melahirkan
生産する;せいさんする;menghasilkan
財産;ざいさん;aset,properti,kekayaan
産業;さんぎょう;industri(semua)
工業;こうぎょう;industri
授業;じゅぎょう;pelajaran,kelas
本日休業;ほんじつきゅうぎょう;tutup hari ini
林;はやし;hutan
小林さん;こばやしさん;kobayashi-san
林道;りんどう;jalan didalam hutan
森;もり;hutan rimba
森さん;もりさん;mori-san
森林;しんりん;hutan belantara
地図;ちず;peta
地下鉄;ちかてつ;subway(kereta bawah tanah)
土地;とち;tanah,daratan
地震;じしん;gempa bumi
池;いけ;kolam
電池;でんち;baterai
海;うみ;laut
外国;がいこく;luar negeri
北海道;ほっかいどう;Hokkaido
西洋;せいよう;barat(lagu,baju)
東洋;とうよう;timur(lagu,baju)
洋服;ようふく;pakaian barat
大西洋;たいせいよう;samudera atlantik
雪;ゆき;salju
大雪;おおゆき;salju lebat
新雪;しんせつ;salju segar
光;ひかり;sinar,cahaya
光る;ひかる;bersinar
日光;にっこう;sinar matahari
観光;かんこう;melihat-lihat
台;だい;meja
台所;だいどころ;dapur
〜台;〜だい/だい;untuk menghitung kendaraan, barang elektronik
土台;どだい;pondasi
風;かぜ;angin
台風;たいふう;angin topan
洋風;ようふう;gaya barat
風景;ふうけい;lanskap
四季;しき;4 musim
季節;きせつ;musim
節分;せつぶん;tradisi di akhir musim salju
春;はる;musim semi
夏;なつ;musim panas
夏休み;なつやすみ;libur musim panas
夏祭り;なつまつり;festival musim panas
夏服;なつふく;baju musim panas
秋;あき;musim gugur
秋田県;あきたけん;prefektur Akita
秋分の日;しゅうぶんのひ;hari ekuinoks musim gugur
冬;ふゆ;musim dingin
冬休み;ふゆやすみ;libur musim dingin
春夏秋冬;しゅんかしゅうとう;musim semi musim panas musim gugur musim dingin
暑い;あつい;panas
残暑;ざんしょ;panas akhir musim panas
寒い;さむい;dingin
寒波;かんぱ;gelombang dingin
暖かい;あたたかい;hangat
暖冬;だんとう;musim dingin yang hangat
暖房;だんぼう;penghangat
温暖化;おんだんか;pemanasan,pemanasan global
涼しい;すずしい;sejuk
涼風;りょうふう;涼風
体;からだ;badan
;;
;;
頭;あたま;kepala
;;
;;
顔;かお;wajah
;;
;;
首;くび;leher
;;
;;
心;こころ;hati
安心;あんしん;tenang,lega
;;
;;
声;こえ;suara(dari mulut)
;;
病気;びょうき;sakit
病院;びょういん;rumah sakit
;;
;;
薬;くすり;obat
;;
;;
;;
;;
;;
内側;うちがわ;sisi dalam
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
