Question;Answer;Description
自分;じぶん;diri sendiri (2010-2011)
旅館;りょかん;penginapan tradisional Jepang (2010-2011)
特に;とくに;terutama (2010-2011)
進む;すすむ;maju (2010-2011)
運ぶ;はこぶ;membawa (2010-2011)
空港;くうこう;bandara (2010-2011)
弱い;よわい;lemah (2010-2011, 2023-7)
住所;じゅうしょ;alamat (2010-2011)
説明;せつめい;penjelasan (2010-2011)
起きる;おきる;bangun (2010-2011, 2013-7)
遠い;とおい;jauh (2010-2011)
野菜;やさい;sayuran (2010-2011, 2013-12)
閉じる;とじる;menutup (2010-2011, 2021-7, 2021-12)
営業;えいぎょう;penjualan (2010-2011, 2013-7)
石;いし;batu (2012)
経験;けいけん;pengalaman (2012, 2023-7)
聞く;きく;mendengar,bertanya (2012)
食堂;しょくどう;kantin (2012, 2021-7)
港;みなと;pelabuhan (2012)
小説;しょうせつ;novel (2012)
日記;にっき;buku harian (2012)
夕方;ゆうがた;sore (2012)
秋;あき;musim gugur (2012)
青い;あおい;biru (2012)
場所;ばしょ;tempat (2012)
歩く;あるく;berjalan kaki (2012)
便利;べんり;praktis (2012)
眠い;ねむい;mengantuk (2012)
雪;ゆき;salju (2012)
味;あじ;rasa (2013-7, 2018)
世界;せかい;dunia (2013-7)
考える;かんがえる;berpikir (2013-7)
足りる;たりる;cukup (2013-7, 2023-7)
体;からだ;badan (2013-7)
今度;こんど;lain kali (2013-7)
雲;くも;awan (2013-7, 2018)
近所;きんじょ;tetangga (2013-7)
薬;くすり;obat (2013-7)
男性;だんせい;laki-laki (2013-7)
押す;おす;menekan (2013-7)
送る;おくる;mengirim (2013-7)
運転;うんてん;menyetir (2013-7)
指;ゆび;jari (2013-12)
旅行;りょこう;traveling(bepergian) (2013-12)
急ぐ;いそぐ;buru-buru (2013-12)
工場;こうじょう;pabrik (2013-12, 2023-7)
妹;いもうと;adik perempuan (2013-12)
待つ;まつ;menunggu (2013-12, 2023-7)
強い;つよい;kuat (2013-12)
駅員;えきいん;pegawai stasiun (2013-12)
医者;いしゃ;dokter (2013-12, 2018)
反対;はんたい;berlawanan (2013-12, 2018)
開く;あく/ひらく;membuka,terbuka (2013-12)
赤い;あかい;merah (2013-12)
走る;はしる;berlari (2013-12)
暗い;くらい;gelap (2013-12)
楽しい;たのしい;menyenangkan (2014-7, 2018)
習う;ならう;belajar(dari orang lain) (2014-7, 2021-7)
軽い;かるい;ringan (2014-7)
食料品;しょくりょうひん;makanan/bahan makanan/selain makanan pokok (2014-7)
顔;かお;wajah (2014-7)
予報;よほう;ramalan (2014-7)
動く;うごく;bergerak (2014-7)
世話をする;せわをする;menjaga,merawat (2014-7)
特急;とうきゅう;limited express (2014-7)
映画;えいが;film (2014-7, 2021-12)
泳ぐ;およぐ;berenang (2014-7)
売り場;うりば;tempat penjualan (2014-7)
終わる;おわる;selesai (2014-7)
本屋;ほんや;toko buku (2014-7)
係り;かかり;orang yang bertanggung jawab (2014-7)
不便;ふべん;tidak praktis (2018)
切る;きる;memotong (2018)
以外;いがい;selain (2018)
急行;きゅうこう;ekspress (2018)
写す;うつす;mencopy,menyalin (2018)
黒い;くろい;hitam (2018)
計画;けいかく;rencana,strategi (2018)
夜;よる;malam (2018, 2021-7)
貸す;かす;meminjamkan (2018)
試合;しあい;pertandingan (2018)
以上;いじょう;lebih,diatas (2021-7)
近い;ちかい;dekat (2021-7)
都合;つごう;kondisi(waktu) (2021-7, 2023-7)
引く;ひく;menarik (2021-7)
女性;じょせい;wanita (2021-7)
お姉さん;おねえさん;kakak perempuan (2021-7)
白い;しろい;putih (2021-7, 2023-7)
親切;しんせつ;ramah (2021-7)
出発;しゅっぱつ;berangkat (2021-12)
答える;こたえる;menjawab (2021-12)
心;こころ;hati (2021-12)
最後;さいご;terakhir (2021-12)
冬;ふゆ;musim dingin (2021-12)
予習;よしゅう;belajar persiapan (2021-12)
作る;つくる;membuat (2021-12)
運動;うんどう;olahraga (2021-12)
船;ふね;kapal (2021-12)
最近;さいきん;akhir-akhir ini (2023-7)
色;いろ;warna (2023-7)
着く;つく;tiba, sampai (2023-7)
糸;いと;benang (2023-7)
兄;あに;kakak laki-laki (2023-7)
